市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,建築年,取引価格（総額）,西暦建築年,築年数,平米単価,面積カテゴリ,徒歩カテゴリ
大阪市阿倍野区,丸山通,阿倍野,6,３ＬＤＫ,70,2007年,4000,2007,18,57.142857142857146,70-100㎡,6-10分
大阪市阿倍野区,丸山通,松虫,4,１ＬＤＫ,45,2007年,2300,2007,18,51.111111111111114,30-50㎡,0-5分
大阪市阿倍野区,丸山通,松虫,7,３ＬＤＫ,70,1997年,3200,1997,28,45.714285714285715,70-100㎡,6-10分
大阪市阿倍野区,丸山通,松虫,7,３ＬＤＫ,75,1997年,2400,1997,28,32.0,70-100㎡,6-10分
大阪市阿倍野区,丸山通,松虫,6,２ＬＤＫ,55,1997年,2200,1997,28,40.0,50-70㎡,6-10分
大阪市阿倍野区,桃ケ池町,昭和町(大阪),6,３ＬＤＫ,65,1995年,4100,1995,30,63.07692307692308,50-70㎡,6-10分
大阪市阿倍野区,桃ケ池町,昭和町(大阪),10,２ＬＤＫ,75,2000年,4900,2000,25,65.33333333333333,70-100㎡,6-10分
大阪市旭区,赤川,城北公園通,7,,75,1991年,1900,1991,34,25.333333333333332,70-100㎡,6-10分
大阪市旭区,赤川,城北公園通,7,,70,1991年,1300,1991,34,18.571428571428573,70-100㎡,6-10分
大阪市旭区,赤川,城北公園通,8,３ＬＤＫ,65,2017年,3200,2017,8,49.23076923076923,50-70㎡,6-10分
大阪市旭区,今市,千林,4,３ＬＤＫ,65,2007年,3400,2007,18,52.30769230769231,50-70㎡,0-5分
大阪市旭区,今市,太子橋今市,1,３ＬＤＫ,60,1996年,2400,1996,29,40.0,50-70㎡,0-5分
大阪市旭区,今市,太子橋今市,3,３ＬＤＫ,70,2010年,4400,2010,15,62.857142857142854,70-100㎡,0-5分
大阪市旭区,大宮,千林大宮,7,３ＬＤＫ,70,1999年,3300,1999,26,47.142857142857146,70-100㎡,6-10分
大阪市旭区,大宮,千林大宮,4,１ＬＤＫ,30,2007年,2000,2007,18,66.66666666666667,30-50㎡,0-5分
大阪市旭区,大宮,千林大宮,4,４ＬＤＫ,85,1990年,1900,1990,35,22.352941176470587,70-100㎡,0-5分
大阪市旭区,大宮,千林大宮,4,１ＬＤＫ,30,2007年,2400,2007,18,80.0,30-50㎡,0-5分
